Name,Description,Role in VC Assistant Infrastructure,Category,Programming Language
Modal,Serverless cloud platform for running GPU workloads on-demand. Spins up containers with GPU access in seconds and charges only for actual compute time used. No reserved instances.,"Runs fine-tuning jobs (LoRA/QLoRA) triggered when a tenant accumulates enough labeled data, and serves vLLM inference endpoints for custom fine-tuned models per tenant.",GPU Compute / Serverless,Python
RunPod,"GPU cloud marketplace offering on-demand and spot GPU instances. Cheaper than AWS for raw GPU hours, with a GraphQL API for spinning up pods. Good for longer-running training jobs where Modal's per-second billing becomes costly.",Alternative or complement to Modal for long fine-tuning runs (multi-hour) or persistent vLLM inference endpoints for tenants with high and predictable inference volume.,GPU Compute / Cloud,Python / REST API
LoRA,Freezes pre-trained model weights and injects small trainable rank-decomposition matrices into transformer layers. Reduces trainable parameters by ~99% vs full fine-tuning — feasible on a single GPU. Each adapter is a small standalone file loadable on top of any compatible base model.,"Core fine-tuning technique for per-tenant memo generation. Each VC client gets their own LoRA adapter (~50-300MB) trained on their analyst memos, stored in S3 and hot-swapped at inference time on top of a shared base model.",Fine-Tuning Technique,Python
QLoRA,Extends LoRA by quantizing the frozen base model weights to 4-bit NF4 precision using bitsandbytes. Allows fine-tuning 70B parameter models on a single 48GB GPU that would otherwise require 4x A100s. Slight quality degradation vs full-precision LoRA.,Used for fine-tuning larger base models (LLaMA 3 70B) for enterprise tenants who require higher output quality. Enables cost-effective training on smaller GPU instances available on Modal and RunPod.,Fine-Tuning Technique,Python
Hugging Face,"Central platform for open-source ML: model hub with 500k+ models, datasets repository, Spaces for demos, and the Transformers library. Industry-standard entry point for loading and sharing pre-trained models.","Source of base models (Mistral 7B, LLaMA 3 8B/70B) used before per-tenant fine-tuning. Private repos store fine-tuned adapter artifacts per client. Tokenizers and model configs pulled at training and inference time.",Model Hub / Ecosystem,Python
PEFT,"Hugging Face library implementing LoRA, QLoRA, Prefix Tuning, IA3, and other efficient adaptation methods. Provides the get_peft_model() wrapper and adapter save/load utilities. The standard Python interface for all LoRA-based fine-tuning workflows.","Applied in Modal/RunPod training jobs to attach LoRA adapters to base models, run training, and save adapter weights to S3. Also used at inference time to load the correct tenant-specific adapter on top of the shared base model in vLLM.",Fine-Tuning Library,Python
Terraform,"Declares cloud infrastructure in .tf config files. Enables reproducible, version-controlled infrastructure across AWS/GCP/Azure. Plan/apply workflow shows changes before applying. State file tracks real-world resource mapping.","Provisions all cloud infrastructure: EKS clusters, ECS services, RDS instances, per-tenant S3 buckets, KMS encryption keys, VPCs, IAM roles, and security groups. Ensures dev/staging/prod environments are identical and auditable — critical for SOC 2 evidence.",Infrastructure as Code,HCL (HashiCorp Configuration Language)
EKS,"AWS managed Kubernetes service. Handles control plane provisioning, upgrades, and availability. Runs containerized workloads with auto-scaling, rolling deployments, per-namespace isolation, and service mesh support.","Runs production platform services: FastAPI orchestration pods, document pipeline workers, reranking services, and vLLM inference servers. Per-tenant Kubernetes namespaces provide workload isolation. HPA auto-scales API pods during pitch deck processing peaks.",Container Orchestration,YAML (config) / Python/Go (clients)
ECS,AWS-native container orchestration without Kubernetes. Runs Docker containers via EC2 or Fargate (serverless). Tighter AWS integration than EKS with significantly lower operational overhead. No cluster nodes to manage with Fargate.,"Recommended starting container platform for early-stage team. Runs FastAPI API service, Celery workers for async document processing, and scheduled fine-tuning trigger tasks. Migrate to EKS when per-tenant namespace isolation or custom scheduling is needed.",Container Orchestration,JSON / YAML (task defs) / Python (boto3)
LaunchDarkly,"Enterprise feature flag and experimentation platform. Enables toggling features per user, tenant, or rollout percentage without code deployments. Supports A/B testing, kill switches, and gradual rollouts with real-time flag evaluation.","Controls which tenants receive new features: new memo generation model versions, updated screening UI, experimental scoring algorithms. Enables safe rollout of a new fine-tuned adapter to one VC client before broad release. Kill switch for LLM features during incidents.",Feature Flag Platform,Python / TypeScript / Go (multi-language SDK)
Statsig,"Modern feature flag and product experimentation platform. Combines feature gates, A/B experiments, and product analytics in one tool. More affordable than LaunchDarkly at startup scale with a generous free tier and strong built-in metrics.","Same role as LaunchDarkly but preferred at early startup stage: per-tenant feature gates for model rollouts, A/B experiments on screening output quality, and product metric tracking. Built-in experiment analysis removes need for a separate analytics tool early on.",Feature Flag / Experimentation Platform,Python / TypeScript / Go (multi-language SDK)
APM,"The practice and tooling category for tracking service-level metrics: request latency, error rates, throughput, and resource usage across distributed services. Typically includes distributed tracing to follow a request across microservices. Implemented via agents or OpenTelemetry instrumentation.","General observability layer for FastAPI, Celery workers, and document pipeline services. Tracks request latency per endpoint, DB query performance, queue depth, and error rates. Distinct from LLM observability (LangSmith/Langfuse) which is prompt/token-aware — both layers are needed.",Observability Concept,Python / Go / Java / TypeScript (language-specific agents)
LangSmith,"LLM-native observability platform by LangChain. Traces every LLM call with full prompt, output, token counts, latency, and cost. Supports prompt versioning, dataset management, and automated evaluations against golden datasets.","Traces all LLM calls in the orchestration layer: prompt version used, retrieved context, model output, latency, and cost per call. Essential for debugging poor memo quality, detecting prompt regressions after updates, and building evaluation datasets from production traces.",LLM Observability,Python / TypeScript
Langfuse,"Open-source, self-hostable LLM observability platform. Provides traces, prompt versioning, evals, and cost tracking. Can be deployed inside your own AWS VPC — critical when clients prohibit their query data from leaving your controlled infrastructure.",Preferred over LangSmith for clients with strict data sovereignty requirements. Deployed inside AWS VPC. Tracks LLM traces per tenant with tenant-scoped dashboards for cost chargeback. Also manages prompt versions across dev/staging/prod environments.,LLM Observability,Python / TypeScript
Datadog,"Full-stack monitoring SaaS: infrastructure metrics, APM distributed tracing, log management, and alerting in a single platform. Industry standard for production B2B SaaS. Expensive but comprehensive with strong compliance reporting capabilities.","Monitors all infrastructure: EKS node health, RDS performance, Redis queue depth, S3 costs per tenant, and API error rates. Provides the audit log trail and uptime evidence required for SOC 2 Type II. Alerts on SLA breaches. Cost allocation dashboards per tenant.",Infrastructure Observability,Python / Go / Ruby / Java / TypeScript (agents)
Grafana,"Open-source dashboarding and visualization platform. Connects to Prometheus, CloudWatch, Loki, Tempo, and 50+ data sources. Core component of the open-source observability stack (Prometheus metrics + Loki logs + Tempo traces + Grafana UI).","Cost-effective Datadog alternative for infrastructure dashboards and alerting. Paired with Prometheus for EKS metrics and Loki for log aggregation. Builds per-tenant usage dashboards (decks processed, LLM calls, cost per tenant) and operational health views for the engineering team.",Metrics Visualization,Go (server) / TypeScript (UI) / PromQL (queries)
